id,title,description,availability,condition,price,link,image_link,brand,item_group_id,size
fr-60x90,Drapeau français — 60 × 90 cm,"Drapeau français en polyester, œillets métalliques, plusieurs tailles disponibles.",in stock,new,12.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/fr-national.jpg,FortDébat,fr,60 × 90 cm
fr-90x150,Drapeau français — 90 × 150 cm,"Drapeau français en polyester, œillets métalliques, plusieurs tailles disponibles.",in stock,new,21.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/fr-national.jpg,FortDébat,fr,90 × 150 cm
bretagne-14x21,Drapeau de la Bretagne — 14 × 21 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,4.50 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-bretagne-pad.jpg,FortDébat,bretagne,14 × 21 cm
bretagne-20x30,Drapeau de la Bretagne — 20 × 30 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,5.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-bretagne-pad.jpg,FortDébat,bretagne,20 × 30 cm
bretagne-30x45,Drapeau de la Bretagne — 30 × 45 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,8.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-bretagne-pad.jpg,FortDébat,bretagne,30 × 45 cm
bretagne-60x90,Drapeau de la Bretagne — 60 × 90 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,12.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-bretagne-pad.jpg,FortDébat,bretagne,60 × 90 cm
bretagne-90x150,Drapeau de la Bretagne — 90 × 150 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,21.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-bretagne-pad.jpg,FortDébat,bretagne,90 × 150 cm
bretagne-120x180,Drapeau de la Bretagne — 120 × 180 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,51.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-bretagne-pad.jpg,FortDébat,bretagne,120 × 180 cm
bretagne-150x240,Drapeau de la Bretagne — 150 × 240 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,75.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-bretagne-pad.jpg,FortDébat,bretagne,150 × 240 cm
bretagne-180x300,Drapeau de la Bretagne — 180 × 300 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,105.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-bretagne-pad.jpg,FortDébat,bretagne,180 × 300 cm
corse-14x21,Drapeau de la Corse — 14 × 21 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,4.50 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-corse-pad.jpg,FortDébat,corse,14 × 21 cm
corse-20x30,Drapeau de la Corse — 20 × 30 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,5.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-corse-pad.jpg,FortDébat,corse,20 × 30 cm
corse-30x45,Drapeau de la Corse — 30 × 45 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,8.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-corse-pad.jpg,FortDébat,corse,30 × 45 cm
corse-60x90,Drapeau de la Corse — 60 × 90 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,12.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-corse-pad.jpg,FortDébat,corse,60 × 90 cm
corse-90x150,Drapeau de la Corse — 90 × 150 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,21.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-corse-pad.jpg,FortDébat,corse,90 × 150 cm
corse-120x180,Drapeau de la Corse — 120 × 180 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,51.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-corse-pad.jpg,FortDébat,corse,120 × 180 cm
corse-150x240,Drapeau de la Corse — 150 × 240 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,75.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-corse-pad.jpg,FortDébat,corse,150 × 240 cm
corse-180x300,Drapeau de la Corse — 180 × 300 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,105.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-corse-pad.jpg,FortDébat,corse,180 × 300 cm
alsace-14x21,Drapeau de l’Alsace — 14 × 21 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,4.50 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-alsace-pad.jpg,FortDébat,alsace,14 × 21 cm
alsace-20x30,Drapeau de l’Alsace — 20 × 30 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,5.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-alsace-pad.jpg,FortDébat,alsace,20 × 30 cm
alsace-30x45,Drapeau de l’Alsace — 30 × 45 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,8.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-alsace-pad.jpg,FortDébat,alsace,30 × 45 cm
alsace-60x90,Drapeau de l’Alsace — 60 × 90 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,12.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-alsace-pad.jpg,FortDébat,alsace,60 × 90 cm
alsace-90x150,Drapeau de l’Alsace — 90 × 150 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,21.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-alsace-pad.jpg,FortDébat,alsace,90 × 150 cm
alsace-120x180,Drapeau de l’Alsace — 120 × 180 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,51.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-alsace-pad.jpg,FortDébat,alsace,120 × 180 cm
alsace-150x240,Drapeau de l’Alsace — 150 × 240 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,75.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-alsace-pad.jpg,FortDébat,alsace,150 × 240 cm
alsace-180x300,Drapeau de l’Alsace — 180 × 300 cm,"Drapeau régional en polyester, œillets métalliques, huit tailles disponibles.",in stock,new,105.00 EUR,https://site-france-orpin.vercel.app/#boutique,https://site-france-orpin.vercel.app/img/rg-alsace-pad.jpg,FortDébat,alsace,180 × 300 cm
